zip,member,piece_name,block,record_idx,record_kind,n_points,point_idx,a,b,c,e,x,y,in_real,nearest_perim_units,nearest_perim_in,nearest_perim_mm,nearest_dxf14_in,block_check_line_table
CAP-C62-DART\CAP-C62-DART.ZIP,aE9A.tmp,CAP-C62-DART,1,5,2,2,1,-1,1,0,0,185466,141864,1,36509.0,3.6509,92.73,,1
CAP-C70-PASTED\CAP-C70-PASTED.ZIP,aD4A0.tmp,CAP-C70-PASTED,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C70-PASTED\CAP-C70-PASTED.ZIP,aD4A0.tmp,CAP-C70-PASTED,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,7,2,2,0,-1,1,0,0,139851,113711,1,11895.9,1.1896,30.22,0.9534,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,7,2,2,1,-1,1,0,0,193615,113711,1,10413.7,1.0414,26.45,0.7264,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,0,2,0,0,2,202598,133753,0,0.2,0.0000,0.00,0.0001,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,1,2,0,0,2,203556,132152,0,1605.4,0.1605,4.08,0.0001,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,2,-1,1,0,1,203893,131588,0,2170.8,0.2171,5.51,0.0000,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,3,-1,1,0,1,205210,129470,0,3155.1,0.3155,8.01,0.0001,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,4,14,1,0,1,207189,126985,0,3152.5,0.3153,8.01,0.0000,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,5,-1,1,0,1,208975,125064,0,3151.6,0.3152,8.01,0.0000,0
captures\2303-B1-38B-IN WG-SP24\2303-B1-38B-IN WG-SP24.ZIP,aA9C7.tmp,2303-B1-38B-IN WG-SP24,0,8,2,13,6,-1,1,0,1,210123,123976,0,3151.3,0.3151,8.00,0.0000,0
